predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
2.132605E-06,0.001,0.4117145,99.78674,41071.45
1.474026E-05,0.002,0,99.26299,100
0.0005208951,0.003,0,82.63683,100
0.00151506,0.004,0,62.12349,100
0.002520409,0.005,0,49.59182,100
0.003531068,0.006000001,0,41.14887,100
0.004529889,0.007000001,0,35.28731,100
0.005522497,0.008,0,30.96878,100
0.006520506,0.009000001,0,27.54993,100
0.007524966,0.01,0,24.75035,100
0.008535063,0.011,0,22.40853,100
0.009548401,0.012,0,20.42999,100
0.01055675,0.013,0,18.79427,100
0.01155703,0.014,0,17.44978,100
0.01254468,0.015,0,16.36881,100
0.01352947,0.016,0,15.44079,100
0.01451579,0.017,0,14.613,100
0.01550761,0.018,0,13.84661,100
0.01650072,0.019,0,13.15412,100
0.01749118,0.02,0,12.54409,100
0.01849583,0.021,0,11.92462,100
0.01951018,0.022,0,11.31736,100
0.02052323,0.023,0,10.76859,100
0.02153147,0.024,0,10.28553,100
0.02253368,0.025,0,9.865283,100
0.02352568,0.026,0,9.516632,100
0.02452002,0.027,0,9.185109,100
0.02552126,0.028,0,8.852653,100
0.02651859,0.029,0,8.55658,100
0.02752046,0.03,0,8.265127,100
0.02852518,0.031,0,7.983308,100
0.02951257,0.032,0,7.773214,100
0.03050112,0.033,0,7.572358,100
0.03150072,0.034,0,7.35082,100
0.03250077,0.035,0,7.140637,100
0.03349656,0.03599999,0,6.95398,100
0.034485,0.03699999,0,6.797267,100
0.03547393,0.03799999,0,6.647527,100
0.03647579,0.03899999,0,6.472302,100
0.03747744,0.03999999,0,6.306369,100
0.0384767,0.04099999,0,6.154363,100
0.03948049,0.04199998,0,5.998793,100
0.04047886,0.04299998,0,5.86309,100
0.0414844,0.04399998,0,5.717239,100
0.04248591,0.04499998,0,5.586821,100
0.04348104,0.04599998,0,5.475961,100
0.04448055,0.04699998,0,5.360474,100
0.04548076,0.04799997,0,5.24837,100
0.04648148,0.04899997,0,5.139793,100
0.04748451,0.04999997,0,5.030933,100
0.04849134,0.05099997,0,4.918884,100
0.04949833,0.05199997,0,4.81085,100
0.05050939,0.05299997,0,4.699204,100
0.05150736,0.05399996,0,4.615934,100
0.05249292,0.05499996,0,4.558268,100
0.05349086,0.05599996,0,4.480536,100
0.05449421,0.05699996,0,4.396048,100
0.05549033,0.05799996,0,4.326947,100
0.05649222,0.05899996,0,4.250401,100
0.05750039,0.05999995,0,4.165946,100
0.05850872,0.06099995,0,4.083984,100
0.05951348,0.06199995,0,4.01044,100
0.06051108,0.06299995,0,3.950591,100
0.06151644,0.06399995,0,3.880487,100
0.06252182,0.06499995,0,3.81251,100
0.06352268,0.06599995,0,3.753447,100
0.06452585,0.06699996,0,3.692699,100
0.06552882,0.06799996,0,3.634023,100
0.06652985,0.06899996,0,3.579877,100
0.06752342,0.06999996,0,3.537921,100
0.06852123,0.07099997,0,3.491176,100
0.06952637,0.07199997,0,3.435547,100
0.0705298,0.07299997,0,3.38379,100
0.07152995,0.07399997,0,3.337872,100
0.07252527,0.07499997,0,3.299605,100
0.07351595,0.07599998,0,3.268453,100
0.07451001,0.07699998,0,3.233727,100
0.0755116,0.07799998,0,3.190234,100
0.07651189,0.07899998,0,3.149484,100
0.07751501,0.07999998,0,3.106222,100
0.07851501,0.08099999,0,3.067874,100
0.07951217,0.08199999,0,3.033922,100
0.0805196,0.08299999,0,2.988419,100
0.08152231,0.08399999,0,2.949623,100
0.08251166,0.08499999,0,2.927456,100
0.08350246,0.086,0,2.904115,100
0.08449621,0.087,0,2.87792,100
0.08550024,0.088,0,2.840636,100
0.08650844,0.089,0,2.79951,100
0.08750535,0.09,0,2.771839,100
0.08849671,0.09100001,0,2.750869,100
0.08949557,0.09200001,0,2.722215,100
0.09049719,0.09300001,0,2.691206,100
0.09149855,0.09400001,0,2.661133,100
0.09250135,0.09500001,0,2.630172,100
0.09350313,0.09600002,0,2.600927,100
0.09450465,0.09700002,0,2.572539,100
0.09549989,0.09800002,0,2.551154,100
0.09649858,0.09900002,0,2.52671,100
0.09749732,0.1,0,2.502702,100
0.09849034,0.101,0.1000345,2.484834,0.9559904
0.09948388,0.102,0.1010738,2.466806,0.9080794
0.1004779,0.103,0.1020421,2.448709,0.9300275
0.1014617,0.104,0.1029759,2.440673,0.98473
0.1024539,0.105,0.1039808,2.424894,0.9706755
0.1034617,0.106,0.1048948,2.394679,1.042708
0.1044626,0.107,0.006977937,2.371456,93.47857
0.1054502,0.108,0.1070614,2.360929,0.8690754
0.1064409,0.109,0.1080109,2.347862,0.9074394
0.1074379,0.11,0.1089353,2.329233,0.9679248
0.1084311,0.111,0.1099382,2.314364,0.9566609
0.1094305,0.112,0.1110884,2.294279,0.8139622
0.1104395,0.1130001,0.1120578,2.265978,0.8338712
0.1114459,0.1140001,0.1129989,2.240474,0.8782074
0.112444,0.1150001,0.1139588,2.222669,0.9054006
0.1134455,0.1160001,0.1149219,2.202178,0.9294145
0.1144586,0.1170001,0.1161297,2.172174,0.743886
0.1154652,0.1180001,0.1170416,2.148178,0.8122897
0.116457,0.1190001,0.1180214,2.137001,0.8224247
0.1174486,0.1200001,0.1189803,2.126208,0.8498251
0.1184418,0.1210001,0.1199162,2.114289,0.895781
0.1194364,0.1220001,0.121125,2.101392,0.7172707
0.1204287,0.1230001,0.1220567,2.090505,0.766955
0.1214305,0.1240001,0.1230418,2.072264,0.7728291
0.1224305,0.1250001,0.123963,2.055662,0.8296485
0.12343,0.1260001,0.1249282,2.039719,0.8507079
0.124436,0.1270001,0.1259101,2.018936,0.8582476
0.125438,0.1280001,0.1270625,2.001632,0.7325197
0.1264342,0.1290001,0.128037,1.989061,0.7465477
0.1274243,0.1300001,0.1289782,1.981337,0.7860816
0.1284131,0.1310001,0.1299423,1.974812,0.8074718
0.1294057,0.1320001,0.1308782,1.965473,0.8499187
0.1304054,0.1330001,0.132087,1.950863,0.6865061
0.1314059,0.1340001,0.1330438,1.935949,0.7136317
0.1324066,0.1350001,0.1339902,1.921134,0.7480819
0.1334039,0.1360001,0.1349449,1.908936,0.7758678
0.1344093,0.1370001,0.1358881,1.891119,0.8116667
0.1354192,0.1380001,0.1371053,1.870202,0.6483944
0.1364275,0.1390001,0.1380339,1.850787,0.6951226
0.1374334,0.1400001,0.009980996,1.833331,92.87073
0.1384319,0.1410001,0.1399527,1.821428,0.7428064
0.1394285,0.1420001,0.1409137,1.810993,0.7650481
0.1404194,0.1430001,0.1421006,1.804675,0.6290265
0.1414174,0.1440001,0.143047,1.793571,0.6619111
0.1424211,0.1450001,0.1440132,1.778653,0.6806434
0.1434194,0.1460001,0.1449417,1.767633,0.7249103
0.1444129,0.1470001,0.1459132,1.759988,0.739391
0.1454091,0.1480001,0.1471126,1.750714,0.5996605
0.1464052,0.1490001,0.1480788,1.741554,0.6183077
0.1473887,0.1500001,0.1490001,1.740961,0.6666774
0.1483755,0.1510001,0.1499444,1.738175,0.6991796
0.1493824,0.1520001,0.1509242,1.7222,0.7078634
0.1503859,0.1530001,0.1521257,1.708655,0.5715321
0.151379,0.1540001,0.1530511,1.70203,0.6162399
0.1523823,0.1550001,0.1540163,1.688925,0.6347312
0.153387,0.1560001,0.1549742,1.675118,0.6576756
0.1543894,0.1570001,0.155931,1.662902,0.6810015
0.1553886,0.1580001,0.1570927,1.652858,0.5743073
0.1563846,0.1590001,0.158105,1.645002,0.5629916
0.1573831,0.1600001,0.1590147,1.635643,0.6158924
0.1583778,0.1610001,0.1599789,1.628816,0.6343446
0.1593741,0.1620001,0.1609315,1.621006,0.6596701
0.1603801,0.1630002,0.161905,1.607404,0.6718589
0.1613837,0.1640002,0.1630574,1.595377,0.5748572
0.1623845,0.1650002,0.1640257,1.585238,0.5905731
0.1633845,0.1660002,0.1649689,1.575689,0.6212342
0.1643814,0.1670002,0.165977,1.568127,0.612687
0.1653845,0.1680002,0.1668909,1.556966,0.6602716
0.1663873,0.1690002,0.1680903,1.546095,0.5383723
0.1673909,0.1700002,0.1690262,1.534862,0.5729052
0.1683939,0.1710002,0.1700029,1.524152,0.5831925
0.1693963,0.1720002,0.1709325,1.513887,0.620728
0.170406,0.1730002,0.1719113,1.499503,0.6294141
0.1714208,0.1740002,0.01149494,1.48239,93.39372
0.1724344,0.1750002,0.1740518,1.466128,0.5419164
0.1734401,0.1760002,0.1749992,1.454614,0.5687242
0.1744493,0.1770002,0.175954,1.44116,0.5910872
0.1754615,0.1780002,0.1769139,1.426232,0.6102689
0.176462,0.1790002,0.1781049,1.417965,0.5001374
0.1774567,0.1800002,0.1790272,1.413059,0.5405225
0.1784508,0.1810002,0.1800165,1.408512,0.5434802
0.1794487,0.1820002,0.1809628,1.401936,0.569977
0.1804531,0.1830002,0.1819175,1.391873,0.591608
0.1814592,0.1840002,0.1830898,1.380956,0.4947909
0.1824682,0.1850002,0.1840675,1.36865,0.5041581
0.1834736,0.1860002,0.1850243,1.358384,0.5246726
0.1844826,0.1870002,0.185955,1.346299,0.5589364
