predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
0,0,0,NaN,NaN,0
4.221185E-06,4.991812,4619.996,99.99992,92451.49,114
5.816376E-06,4.979332,0,99.99988,100,0
2.495906,4.966884,4.979154,49.74906,0.2470356,114
4.985569,4.954467,4.966756,0.6277604,0.2480494,114
4.973105,4.94208,4.954325,0.6277611,0.2477641,114
4.96067,4.929725,4.941995,0.627719,0.248888,114
4.948266,4.917401,4.929483,0.6276632,0.2457106,114
4.935888,4.905107,4.917659,0.6275156,0.2558922,114
4.923538,4.892845,4.905244,0.6273146,0.2534246,114
4.911232,4.880612,4.892725,0.6273628,0.248188,114
4.898958,4.868411,4.88047,0.6274561,0.2476934,114
4.88671,4.85624,4.868541,0.6274282,0.2532925,114
4.874492,4.8441,4.856076,0.6274158,0.2472336,114
4.86231,4.831989,4.84418,0.6274982,0.252294,114
4.850159,4.819909,4.831799,0.6276067,0.2466838,114
4.838028,4.807859,4.819887,0.6274837,0.2501584,114
4.825926,4.79584,4.807949,0.6273462,0.2524955,114
4.813868,4.78385,4.796011,0.6274831,0.2542048,114
4.801842,4.771891,4.78363,0.6276668,0.2460184,114
4.789845,4.759961,4.771722,0.6278073,0.2470758,114
4.777871,4.748061,4.759805,0.6278342,0.2473435,114
4.765932,4.736191,4.747847,0.6279479,0.2461009,114
4.754023,4.72435,4.736432,0.6280783,0.2557208,114
4.742138,4.71254,4.724506,0.628074,0.2539333,114
4.730277,4.700758,4.712582,0.6279439,0.2515164,114
4.718447,4.689006,4.700631,0.6278601,0.2479163,114
4.706656,4.677284,4.689191,0.6279657,0.2545832,114
4.694891,4.665591,4.67735,0.6280065,0.2520427,114
4.683161,4.653927,4.665383,0.6281665,0.246158,114
4.671462,4.642292,4.653926,0.6283439,0.2506165,114
4.659781,4.630686,4.64249,0.628302,0.2549105,114
4.648133,4.61911,4.630574,0.6283386,0.2481889,114
4.636514,4.607562,4.619071,0.628361,0.2497838,114
4.624918,4.596043,4.607715,0.6282551,0.253958,114
4.613361,4.584553,4.596191,0.628384,0.2538665,114
4.601832,4.573092,4.584839,0.6284782,0.2568905,114
4.590322,4.561659,4.572864,0.6283495,0.2456386,114
4.578843,4.550255,4.561361,0.628279,0.244085,114
4.567403,4.538879,4.550486,0.6284248,0.2557172,114
4.55599,4.939788,4.538979,7.769536,8.113896,114
4.544603,4.927439,4.52761,7.76946,8.114326,114
0.2004161,4.91512,4.927631,95.92245,0.2545365,114
4.933582,4.902833,4.91525,0.6271843,0.2532682,114
4.921251,4.890575,4.902802,0.6272352,0.2499932,114
4.908947,4.878349,4.89048,0.6272238,0.2486648,114
4.896677,4.866153,4.878483,0.6272671,0.2533841,114
4.88444,4.853987,4.866115,0.6273854,0.2498441,114
4.872233,4.841852,4.854236,0.6274608,0.2557588,114
4.860047,4.829748,4.841829,0.627355,0.2501502,114
4.847896,4.817673,4.829871,0.6273338,0.2531823,114
4.835781,4.805629,4.817444,0.6274177,0.2458491,114
4.823691,4.793615,4.805552,0.6274185,0.2490117,114
4.811623,4.781631,4.793644,0.6272258,0.2512214,114
4.799605,4.769677,4.78174,0.6274582,0.2529007,114
4.787626,4.757753,4.769823,0.6278782,0.2536849,114
4.77567,4.745859,4.757923,0.6281557,0.2542002,114
4.763735,4.733994,4.745876,0.6282493,0.2509996,114
4.75182,4.722159,4.734073,0.6281275,0.2522951,114
4.739938,4.710353,4.722126,0.6280821,0.2499411,114
4.728089,4.698577,4.710193,0.6280934,0.2472185,114
4.716275,4.686831,4.698749,0.6282228,0.2542884,114
4.704487,4.675114,4.686849,0.6282775,0.2510091,114
4.692727,4.663426,4.674957,0.6283082,0.2472619,114
4.680999,4.651768,4.663434,0.6283863,0.2507825,114
4.669301,4.640138,4.651546,0.6284917,0.2458618,114
4.657634,4.628538,4.64011,0.6286349,0.2500323,114
4.645994,4.616966,4.628666,0.6287129,0.2534165,114
4.634378,4.605424,4.616708,0.6287045,0.2450127,114
4.622787,4.59391,4.605264,0.6285883,0.2471422,114
4.611222,4.582426,4.59387,0.6284051,0.2497387,114
