predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
0,0,0,NaN,NaN
1.136386E-06,0.001,0.261265,99.88636,26026.5
1.74799E-07,0.002,0,99.99126,100
0.0005042566,0.003,0,83.19145,100
0.001514257,0.004,0,62.14357,100
0.00251676,0.005,0,49.66479,100
0.003507929,0.006000001,0,41.53452,100
0.004500298,0.007000001,0,35.71004,100
0.005499054,0.008,0,31.26183,100
0.006489917,0.009000001,0,27.88982,100
0.007485866,0.01,0,25.14135,100
0.008485418,0.011,0,22.85984,100
0.009484698,0.012,0,20.96086,100
0.01048433,0.013,0,19.35132,100
0.01147819,0.014,0,18.01292,100
0.01247605,0.015,0,16.82631,100
0.0134799,0.016,0,15.75061,100
0.01447557,0.017,0,14.84958,100
0.01545936,0.018,0,14.11467,100
0.01644486,0.019,0,13.4481,100
0.01743975,0.02,0,12.80123,100
0.01844215,0.021,0,12.18023,100
0.01944713,0.022,0,11.60398,100
0.02044905,0.023,0,11.09109,100
0.02144535,0.024,0,10.6444,100
0.02243303,0.025,0,10.26791,100
0.02342278,0.026,0,9.912387,100
0.02442801,0.027,0,9.525904,100
0.0254355,0.028,0,9.158944,100
0.0264368,0.029,0,8.838629,100
0.02743965,0.03,0,8.534509,100
0.02844271,0.031,0,8.249342,100
0.02943916,0.032,0,8.002616,100
0.03044324,0.033,0,7.747757,100
0.03143876,0.034,0,7.533052,100
0.03242206,0.035,0,7.365538,100
0.03342861,0.03599999,0,7.142749,100
0.03444362,0.03699999,0,6.909116,100
0.03544367,0.03799999,0,6.72717,100
0.03643926,0.03899999,0,6.565969,100
0.03743866,0.03999999,0,6.403319,100
0.038442,0.04099999,0,6.239,100
0.0394454,0.04199998,0,6.082355,100
0.0404449,0.04299998,0,5.942057,100
0.04144461,0.04399998,0,5.807654,100
0.04244725,0.04499998,0,5.672734,100
0.04345353,0.04599998,0,5.535751,100
0.04445572,0.04699998,0,5.413317,100
0.04546123,0.04799997,0,5.289046,100
0.04647395,0.04899997,0,5.155159,100
0.04748487,0.04999997,0,5.030203,100
0.04848354,0.05099997,0,4.934186,100
0.04947805,0.05199997,0,4.849851,100
0.05048683,0.05299997,0,4.741777,100
0.05148809,0.05399996,0,4.651614,100
0.05248626,0.05499996,0,4.570365,100
0.05348565,0.05599996,0,4.48985,100
0.05447905,0.05699996,0,4.422655,100
0.05547576,0.05799996,0,4.352061,100
0.05647302,0.05899996,0,4.282938,100
0.05747449,0.05999995,0,4.209116,100
0.05847841,0.06099995,0,4.133677,100
0.05947744,0.06199995,0,4.068561,100
0.06047606,0.06299995,0,4.006175,100
0.06148517,0.06399995,0,3.929346,100
0.06249715,0.06499995,0,3.850469,100
0.06349906,0.06599995,0,3.789244,100
0.06449285,0.06699996,0,3.741951,100
0.0654842,0.06799996,0,3.699643,100
0.06647979,0.06899996,0,3.652428,100
0.06748381,0.06999996,0,3.594502,100
0.06850055,0.07099997,0,3.520307,100
0.06951632,0.07199997,0,3.449507,100
0.07052081,0.07299997,0,3.396109,100
0.07152717,0.07399997,0,3.341627,100
0.0725333,0.07499997,0,3.288896,100
0.07353528,0.07599998,0,3.243023,100
0.07453029,0.07699998,0,3.207389,100
0.07550863,0.07799998,0,3.194036,100
0.07649823,0.07899998,0,3.166771,100
0.07750262,0.07999998,0,3.12171,100
