predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
0,0,0,NaN,NaN
2.292169E-09,0,1.2494,Infinity,Infinity
4.387156E-09,0,0,Infinity,NaN
3.993081E-09,0,0,Infinity,NaN
1.00572E-08,0,0,Infinity,NaN
1.232849E-08,0,0,Infinity,NaN
7.006102E-10,0,0,Infinity,NaN
2.133588E-08,0,0,Infinity,NaN
3.529732E-08,0,0,Infinity,NaN
2.942462E-08,0,0,Infinity,NaN
2.230736E-08,0,0,Infinity,NaN
1.966102E-08,0,0,Infinity,NaN
2.731631E-08,0,0,Infinity,NaN
3.286207E-08,0,0,Infinity,NaN
3.314186E-08,0,0,Infinity,NaN
3.537384E-08,0,0,Infinity,NaN
3.554955E-08,0,0,Infinity,NaN
3.947873E-08,0,0,Infinity,NaN
3.589079E-08,0,0,Infinity,NaN
3.051692E-08,0,0,Infinity,NaN
3.284913E-08,0,0,Infinity,NaN
2.963859E-08,0,0,Infinity,NaN
2.776907E-08,0,0,Infinity,NaN
5.105057E-08,0,0,Infinity,NaN
7.307673E-08,0,0,Infinity,NaN
6.987496E-08,0,0,Infinity,NaN
6.364133E-08,0,0,Infinity,NaN
6.061907E-08,0,0,Infinity,NaN
5.458675E-08,0,0,Infinity,NaN
6.445725E-08,0,0,Infinity,NaN
7.658898E-08,0,0,Infinity,NaN
7.231E-08,0,0,Infinity,NaN
5.894692E-08,0,0,Infinity,NaN
5.168188E-08,0,0,Infinity,NaN
4.892964E-08,0,0,Infinity,NaN
5.583214E-08,0,0,Infinity,NaN
6.816622E-08,0,0,Infinity,NaN
5.917068E-08,0,0,Infinity,NaN
4.743815E-08,0,0,Infinity,NaN
4.30548E-08,0,0,Infinity,NaN
5.108946E-08,0,0,Infinity,NaN
6.874062E-08,0,0,Infinity,NaN
8.904407E-08,0,0,Infinity,NaN
9.327732E-08,0,0,Infinity,NaN
8.507079E-08,0,0,Infinity,NaN
8.862432E-08,0,0,Infinity,NaN
1.01353E-07,0,0,Infinity,NaN
9.90464E-08,0,0,Infinity,NaN
8.594424E-08,0,0,Infinity,NaN
8.0643E-08,0,0,Infinity,NaN
7.332134E-08,0,0,Infinity,NaN
6.976224E-08,0,0,Infinity,NaN
6.36899E-08,0,0,Infinity,NaN
5.99656E-08,0,0,Infinity,NaN
6.593998E-08,0,0,Infinity,NaN
6.704655E-08,0.0001182556,0,99.94331,100
5.717723E-08,0.00023592,0,99.97576,100
5.91762E-05,0.000352996,0,83.23601,100
0.0001771319,0.0004694866,0,62.27114,100
0.000294493,0.0005853947,0,49.69326,100
0.0004112653,0.0007007234,0,41.30846,100
0.0005274506,0.0008154754,0,35.31986,100
0.0006430658,0.0009296536,0,30.82737,100
0.0007581178,0.001043261,0,27.33191,100
0.0008725941,0.0011563,0,24.53568,100
0.000986479,0.001268774,0,22.24945,100
0.001099793,0.001380686,0,20.34443,100
0.001212561,0.001492038,0,18.73124,100
0.001324759,0.001602834,0,17.34897,100
0.001436396,0.001713075,0,16.15101,100
0.001547467,0.001822765,0,15.10334,100
0.001657961,0.001931907,0,14.18009,100
0.001767903,0.002040503,0,13.35949,100
0.001877298,0.002148557,0,12.62514,100
0.001986162,0.002256069,0,11.96363,100
0.002094491,0.002363045,0,11.36471,100
0.002202283,0.002469485,0,10.82015,100
0.00230954,0.002575393,0,10.32283,100
0.002416251,0.002680772,0,9.867336,100
0.002522416,0.002785624,0,9.448793,100
0.002628055,0.002889951,0,9.062285,100
0.002733172,0.002993757,0,8.70428,100
0.002837754,0.003097044,0,8.372184,100
0.002941806,0.003199814,0,8.063226,100
0.003045364,0.003302071,0,7.774113,100
0.003148425,0.003377113,0,6.771711,100
0.003250957,0.00345178,0,5.817959,100
0.003339622,0.003526074,0,5.287818,100
0.003414488,0.003599997,0,5.153025,100
0.003488964,0.00367355,0,5.024714,100
0.003563069,0.003746734,0,4.902026,100
0.003636805,0.003819553,0,4.784553,100
0.003710171,0.003892008,0,4.672079,100
0.003783178,0.003964101,0,4.56404,100
0.003855819,0.004035833,0,4.460402,100
0.003928091,0.004107207,0,4.361009,100
0.004,0.004141603,0,3.419037,100
0.004071542,0.004175826,0,2.497335,100
0.004124419,0.004209879,0,2.029977,100
0.004158726,0.004243761,0,2.003773,100
0.004192852,0.004277474,0,1.978324,100
0.004226809,0.004311019,0,1.95336,100
0.004260616,0.004344395,0,1.928449,100
0.004294255,0.004377605,0,1.904012,100
0.004327709,0.004410649,0,1.880446,100
0.004360995,0.004443527,0,1.857363,100
0.004394121,0.004425887,0,0.7177322,100
0.004427083,0.004408335,0,0.425285,100
0.004434715,0.004390871,0,0.9985127,100
0.004417125,0.004373495,0,0.9976141,100
0.004399616,0.004356205,0,0.9965496,100
0.004382201,0.004339001,0,0.9956284,100
0.004364868,0.004321884,0,0.9945616,100
0.004347607,0.004304852,0,0.9931744,100
0.004330428,0.004287906,0,0.9916915,100
0.004313347,0.004254791,0,1.376247,100
0.004296343,0.004221842,0,1.76466,100
0.004271302,0.004189057,0,1.963321,100
0.004238286,0.004156437,0,1.969218,100
0.004205429,0.004123979,0,1.975028,100
0.004172735,0.004091684,0,1.980863,100
0.004140198,0.004059551,0,1.986609,100
0.004107816,0.004027578,0,1.992206,100
0.004075603,0.003964389,0,2.80531,100
0.004043552,0.003901516,0,3.640522,100
0.00399597,0.003838958,0,4.089974,100
0.003932924,0.003776712,0,4.1362,100
0.003870192,0.003714777,0,4.183682,100
0.003807784,0.003653152,0,4.232841,100
0.003745691,0.003591835,0,4.283483,100
0.003683922,0.003530825,0,4.336015,100
0.003622462,0.00347012,0,4.390102,100
0.003561285,0.003365271,0,5.824607,100
0.003500419,0.003260947,0,7.343623,100
0.003417637,0.003157144,0,8.250899,100
0.003313044,0.003053861,0,8.487056,100
0.003208991,0.002951093,0,8.739046,100
0.003105455,0.00284884,0,9.007684,100
0.003002414,0.002747098,0,9.294019,100
0.002899884,0.002645865,0,9.600611,100
0.002797872,0.002545137,0,9.930098,100
0.00269638,0.002444914,0,10.28528,100
0.002595398,0.002342252,0,10.80779,100
0.002494916,0.002240104,0,11.37502,100
0.002393465,0.002138466,0,11.92438,100
0.002291062,0.002037337,0,12.45378,100
0.002189173,0.001936713,0,13.03552,100
0.002087789,0.001836592,0,13.67734,100
0.001986906,0.001736972,0,14.38907,100
0.001886531,0.00163785,0,15.18338,100
0.001786665,0.001539224,0,16.07572,100
0.001687301,0.00144109,0,17.08501,100
0.001588431,0.001343448,0,18.23541,100
0.001490051,0.001246293,0,19.55864,100
0.00139218,0.001149625,0,21.09868,100
0.001294796,0.001053439,0,22.91128,100
0.001197886,0.0009577351,0,25.07485,100
0.001101463,0.0008625093,0,27.70453,100
0.001005514,0.0007677596,0,30.96725,100
0.000910043,0.0005954553,0,52.83144,100
0.0008150635,0.0004240126,0,92.22626,100
0.0006815416,0.0002534271,0,168.9301,100
0.0005096608,8.369448E-05,0,508.9539,100
0.0003386461,8.518946E-05,0,297.5211,100
0.0001684919,0.000253229,0,33.46262,100
8.112547E-07,0.0004204283,0,99.80704,100
0.0001692603,0.0005867916,0,71.15495,100
0.0003368781,0.0007523231,0,55.22162,100
0.0005036594,0.000917027,0,45.07692,100
0.000669602,0.001080907,0,38.05186,100
0.0008347115,0.001243968,0,32.89929,100
0.0009989963,0.001406214,0,28.95844,100
0.001162473,0.001567648,0,25.84604,100
0.001325128,0.001728276,0,23.32658,100
0.00148696,0.0018881,0,21.24567,100
0.001647983,0.002047125,0,19.49768,100
0.001808211,0.002205354,0,18.00813,100
0.001967641,0.002362793,0,16.72395,100
0.002126265,0.002519445,0,15.60579,100
0.002284091,0.002675313,0,14.62341,100
0.002441136,0.002830402,0,13.75303,100
0.002597393,0.002984715,0,12.97687,100
0.002752855,0.003138257,0,12.28075,100
0.00290755,0.003291031,0,11.65231,100
0.003061477,0.003443041,0,11.08218,100
0.00321463,0.003809375,0,15.61266,100
0.003367007,0.004173876,0,19.3314,100
0.003626158,0.004536555,0,20.06803,100
0.003991562,0.004897421,0,18.49664,100
0.004355156,0.005256482,0,17.14694,100
0.00471694,0.005613748,0,15.97521,100
0.005076911,0.005969228,0,14.94861,100
0.005435073,0.00632293,0,14.04186,100
0.005791452,0.006674864,0,13.2349,100
0.006146048,0.007025038,0,12.51224,100
