predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
0,0,0,NaN,NaN
5.625837E-09,4.970238,2.814527,100,43.37239
2.034939E-08,4.945386,0,100,100
2.485119,4.92066,4.945221,49.49622,0.4991584
4.957812,4.896056,4.920539,1.261335,0.5000499
4.933023,4.871576,4.896164,1.26134,0.504726
4.908358,4.847218,4.871332,1.261333,0.497484
4.883816,4.822982,4.847111,1.261334,0.5002904
4.859397,4.798867,4.823213,1.261343,0.5073255
4.8351,4.774872,121.6369,1.26135,2447.439
4.810925,4.750998,4.775072,1.261346,0.5067163
4.78687,4.727243,4.751149,1.261339,0.5057119
4.762935,4.703607,40.68456,1.261342,764.9651
4.73912,4.680089,4.703547,1.261343,0.5012299
4.715425,4.656688,4.680161,1.261333,0.5040764
4.691847,4.633405,4.656822,1.261332,0.505395
4.668388,4.610238,4.633421,1.26134,0.5028769
4.645046,4.587186,4.609961,1.261337,0.4964851
4.621821,4.56425,4.587289,1.261334,0.5047573
4.598712,4.541429,4.5643,1.261341,0.5036084
4.575718,4.305943,0.1105674,6.265199,97.43221
4.55284,4.284413,4.518449,6.265197,5.462498
0.117743,4.262991,4.284342,97.23801,0.5008423
4.295178,4.241676,4.262934,1.261354,0.5011782
4.273703,4.220468,4.241497,1.261354,0.4982622
4.252334,4.199365,4.22042,1.261357,0.5013906
4.231072,4.178368,4.19955,1.261362,0.5069343
4.209917,4.157476,4.178493,1.261358,0.5055248
4.188867,4.136689,4.157533,1.261345,0.5038692
4.167922,4.116006,4.136572,1.261334,0.4996704
4.147083,4.095426,4.116114,1.261339,0.5051386
4.126348,4.074949,4.095544,1.261347,0.5054069
4.105716,4.054574,40.03495,1.261346,887.4022
4.085187,4.034301,4.05448,1.261338,0.5001807
4.064762,4.01413,4.03457,1.261344,0.5092039
4.044438,3.994059,4.01404,1.261343,0.5002657
4.024216,3.974089,120.8158,1.26134,2940.087
4.004095,3.990465,0.06123411,0.3415441,98.46549
3.984074,3.970513,3.954482,0.341549,0.403752
3.982278,3.95066,3.970623,0.8003008,0.5052904
3.98049,3.930907,3.950591,1.26135,0.5007333
3.960587,3.911253,3.931035,1.261348,0.5057793
3.940784,3.891696,3.911013,1.261346,0.4963561
3.92108,3.872238,3.891427,1.261349,0.4955501
3.901475,3.852877,3.872451,1.261351,0.5080403
3.881968,3.833612,3.852813,1.261352,0.5008603
3.862558,3.814444,3.833771,1.261352,0.5066649
3.843245,3.795372,3.814266,1.261353,0.4978346
3.824028,3.776395,3.795095,1.261352,0.4951971
3.804908,3.757513,3.77655,1.261352,0.5066449
3.785884,3.738725,3.757451,1.261352,0.5008625
3.766954,3.720031,3.738885,1.261352,0.5068147
3.748119,3.701431,3.71976,1.261352,0.4951907
3.729379,3.682924,3.701225,1.261353,0.4969217
3.710732,3.455438,0.4550914,7.388162,86.8297
3.692178,3.438279,3.664524,7.384467,6.580172
3.569182,3.421206,3.438426,4.325242,0.5033388
3.446859,3.404218,3.421301,1.252591,0.5018165
3.429743,3.387316,120.5891,1.252549,3460.021
3.412713,3.370497,3.387415,1.252503,0.5019279
3.395767,3.353763,3.370301,1.252454,0.4931006
3.378907,3.337112,3.353637,1.252416,0.4951752
3.362131,3.320545,3.336917,1.252375,0.4930362
3.345438,3.304061,3.320652,1.252331,0.5021635
3.32883,3.287659,3.304036,1.252284,0.4981348
3.312304,3.271339,3.287823,1.252242,0.5039068
3.295861,3.2551,41.44202,1.252197,1173.141
3.2795,3.238943,3.254853,1.25215,0.4912216
3.26322,3.222867,3.239181,1.252108,0.506211
3.247022,3.206871,3.222958,1.252057,0.5016583
3.230906,3.279873,3.206709,1.492972,2.23071
3.214869,3.263565,3.191005,1.492112,2.223359
3.243372,3.247339,3.263468,0.1221483,0.4966841
3.27172,3.231194,3.247214,1.254209,0.4957865
